,player_id,perf_date,season,latest,player_url,player_positions,overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,league_id,league_level,club_team_id,club_position,club_jersey_number,club_loaned_from,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,best_position,2nd_position,value_million_eur
147445,194319,2022-09-26 00:00:00,2022.0,True,/player/194319/danny-ward/230002,ST,70,70,1300000.0,13000.0,31,180,72,14.0,2.0,1939.0,ST,25.0,,Left,4,3,1,High/High,Normal (170-185),2400000.0,,,68.0,72.0,62.0,67.0,38.0,71.0,62,71,70,64,68,67,60,60,59,66,71,65,69,68,68,77,86,72,72,70,62,23,69,64,67,64.0,41,37,32,13,11,15,11,8,,70,70,70,67,68,68,68,67,66+2,66+2,66+2,66+2,62+2,62+2,62+2,66+2,53+2,52+2,52+2,52+2,53+2,51+2,50+2,50+2,50+2,51+2,17+2,https://cdn.sofifa.net/players/194/319/23_120.png,ST,,1.3
147446,194334,2022-09-26 00:00:00,2022.0,True,/player/194334/daniel-sanchez-ayala/230002,CB,70,70,1100000.0,21000.0,31,190,84,14.0,2.0,3.0,RCB,4.0,,Right,3,2,1,Medium/Medium,Normal (185+),2100000.0,,"Injury Prone, Dives Into Tackles (AI), Power Header",51.0,41.0,50.0,61.0,71.0,71.0,33,43,73,58,29,61,41,32,50,64,49,52,53,64,50,47,71,58,75,32,78,71,49,59,37,64.0,70,71,67,15,8,15,6,10,,55+2,55+2,55+2,53,55,55,55,53,56+2,56+2,56+2,54+2,58+2,58+2,58+2,54+2,60+2,65+2,65+2,65+2,60+2,62+2,70,70,70,62+2,16+2,https://cdn.sofifa.net/players/194/334/23_120.png,CB,,1.1
147462,198261,2022-09-26 00:00:00,2022.0,True,/player/198261/tim-ream/230002,CB,70,70,525000.0,26000.0,34,186,80,13.0,1.0,144.0,LCB,13.0,,Left,3,2,1,Medium/Medium,Normal (185+),998000.0,,"Solid Player, Leadership, Team Player",54.0,43.0,67.0,68.0,72.0,68.0,61,40,70,73,51,66,65,52,69,70,53,54,66,62,66,48,72,63,72,40,64,74,40,67,49,80.0,72,72,68,15,14,15,8,10,,55+2,55+2,55+2,59,58,58,58,59,61+2,61+2,61+2,61+2,65+2,65+2,65+2,61+2,67+2,70,70,70,67+2,67+2,70,70,70,67+2,17+2,https://cdn.sofifa.net/players/198/261/23_120.png,CB,,0.525
147482,200408,2022-09-26 00:00:00,2022.0,True,/player/200408/ben-gibson/230002,CB,70,70,1300000.0,22000.0,29,185,78,14.0,2.0,1792.0,SUB,6.0,,Left,3,2,1,Low/Medium,Normal (185+),2500000.0,,,50.0,27.0,48.0,46.0,71.0,76.0,29,24,72,62,20,40,38,22,57,50,52,48,47,58,60,35,78,67,82,22,73,70,27,44,48,55.0,70,73,71,12,8,16,16,11,,44+2,44+2,44+2,42,43,43,43,42,45+2,45+2,45+2,46+2,52+2,52+2,52+2,46+2,59+2,65+2,65+2,65+2,59+2,61+2,70,70,70,61+2,17+2,https://cdn.sofifa.net/players/200/408/23_120.png,CB,,1.3
147484,200689,2022-09-26 00:00:00,2022.0,True,/player/200689/ryan-leonard/230002,"CDM, CM, RWB",70,70,1300000.0,8000.0,30,185,82,14.0,2.0,97.0,SUB,18.0,,Right,3,3,1,High/High,Normal (185+),2500000.0,,"Long Throw-in, Injury Prone, Long Shot Taker (AI), Speed Dribbler (AI)",77.0,65.0,65.0,67.0,67.0,78.0,61,58,60,70,68,66,55,55,68,64,75,78,78,70,69,80,79,84,79,68,70,66,61,65,53,65.0,67,68,70,10,14,9,8,13,,67+2,67+2,67+2,66,67,67,67,66,67+2,67+2,67+2,67+2,68+2,68+2,68+2,67+2,70,69+1,69+1,69+1,70,69+1,69+1,69+1,69+1,69+1,18+2,https://cdn.sofifa.net/players/200/689/23_120.png,CDM, CM,1.3
147485,200715,2022-09-26 00:00:00,2022.0,True,/player/200715/adam-davies/230002,GK,70,70,1100000.0,13000.0,29,185,80,14.0,2.0,1794.0,SUB,1.0,,Right,3,1,1,Medium/Medium,Normal (185+),2100000.0,,Cautious With Crosses,,,,,,,12,11,16,25,13,12,16,18,13,16,40,40,39,68,40,50,46,29,47,15,31,15,8,40,23,47.0,18,16,13,71,67,66,70,71,40.0,25+2,25+2,25+2,23,25,25,25,23,25+2,25+2,25+2,24+2,24+2,24+2,24+2,24+2,24+2,24+2,24+2,24+2,24+2,24+2,24+2,24+2,24+2,24+2,69+1,https://cdn.sofifa.net/players/200/715/23_120.png,GK,,1.1
147506,202017,2022-09-26 00:00:00,2022.0,True,/player/202017/onel-hernandez/230002,"LM, ST, LWB",70,70,1600000.0,24000.0,29,172,76,14.0,2.0,1792.0,SUB,25.0,,Right,3,4,1,High/Medium,Stocky (170-185),3000000.0,,"Speed Dribbler (AI), Team Player",86.0,64.0,62.0,71.0,34.0,73.0,63,62,50,63,62,70,61,52,52,70,87,85,81,64,85,74,45,72,76,61,72,17,71,67,50,63.0,40,38,17,14,13,10,11,11,,68+2,68+2,68+2,69,69,69,69,69,68+2,68+2,68+2,69+1,61+2,61+2,61+2,69+1,53+2,51+2,51+2,51+2,53+2,50+2,46+2,46+2,46+2,50+2,18+2,https://cdn.sofifa.net/players/202/017/23_120.png,LM, ST,1.6
147514,203749,2022-09-26 00:00:00,2022.0,True,/player/203749/sonny-bradley/230002,CB,70,70,1300000.0,17000.0,30,196,90,14.0,2.0,1923.0,CB,5.0,,Left,3,2,1,Medium/High,Normal (185+),2500000.0,,"Solid Player, Long Passer (AI)",54.0,31.0,47.0,51.0,69.0,76.0,36,28,71,62,26,44,20,22,53,56,55,54,61,66,34,40,69,67,81,29,75,69,41,40,19,62.0,70,69,68,13,15,9,9,9,,49+2,49+2,49+2,47,48,48,48,47,49+2,49+2,49+2,50+2,54+2,54+2,54+2,50+2,60+2,64+2,64+2,64+2,60+2,63+2,70,70,70,63+2,17+2,https://cdn.sofifa.net/players/203/749/23_120.png,CB,,1.3
147518,204215,2022-09-26 00:00:00,2022.0,True,/player/204215/adam-reach/230002,"LWB, LW, CM",70,70,1400000.0,18000.0,29,185,73,14.0,2.0,109.0,SUB,20.0,,Left,4,3,1,High/Medium,Normal (185+),2700000.0,,Long Shot Taker (AI),73.0,66.0,68.0,71.0,62.0,69.0,70,62,57,69,67,70,66,51,67,71,69,77,73,69,71,74,77,81,74,72,39,57,65,69,55,69.0,66,64,62,8,11,8,16,6,,67+2,67+2,67+2,69,69,69,69,69,69+1,69+1,69+1,70,69+1,69+1,69+1,70,68+2,66+2,66+2,66+2,68+2,67+2,63+2,63+2,63+2,67+2,17+2,https://cdn.sofifa.net/players/204/215/23_120.png,LWB, LW,1.4
147521,204246,2022-09-26 00:00:00,2022.0,True,/player/204246/marcus-bettinelli/230002,GK,70,71,1200000.0,33000.0,30,194,82,13.0,1.0,5.0,RES,13.0,,Right,3,1,1,Medium/Medium,Normal (185+),2300000.0,,,,,,,,,12,14,11,40,12,15,12,19,48,28,34,24,39,60,40,54,60,22,40,14,33,15,6,40,18,52.0,16,18,17,71,68,72,71,72,30.0,26+2,26+2,26+2,25,27,27,27,25,30+2,30+2,30+2,27+2,32+2,32+2,32+2,27+2,24+2,30+2,30+2,30+2,24+2,24+2,25+2,25+2,25+2,24+2,69+2,https://cdn.sofifa.net/players/204/246/23_120.png,GK,,1.2
147522,204412,2022-09-26 00:00:00,2022.0,True,/player/204412/george-saville/230002,CM,70,70,1600000.0,9000.0,29,182,73,14.0,2.0,97.0,RCM,23.0,,Left,3,3,1,Medium/Medium,Lean (170-185),3000000.0,,Solid Player,63.0,66.0,69.0,69.0,68.0,74.0,69,67,67,70,56,67,64,68,66,70,65,61,71,72,71,66,83,85,66,68,77,69,69,72,54,64.0,66,70,64,7,11,12,11,14,,67+2,67+2,67+2,68,68,68,68,68,69+1,69+1,69+1,69+1,70,70,70,69+1,70,70,70,70,70,69+1,69+1,69+1,69+1,69+1,18+2,https://cdn.sofifa.net/players/204/412/23_120.png,CM,,1.6
147523,204464,2022-09-26 00:00:00,2022.0,True,/player/204464/joe-ralls/230002,"CM, CDM, CAM",70,70,1600000.0,20000.0,28,178,70,14.0,2.0,1961.0,SUB,8.0,,Left,2,3,1,Medium/High,Normal (170-185),3000000.0,,"Long Passer (AI), Team Player",61.0,68.0,71.0,68.0,66.0,66.0,71,66,50,72,63,66,71,70,72,71,64,59,69,70,68,71,59,75,58,69,76,67,67,71,74,70.0,67,70,68,9,16,13,11,11,,65+2,65+2,65+2,68,68,68,68,68,69+1,69+1,69+1,69+1,70,70,70,69+1,69+1,70,70,70,69+1,68+2,66+2,66+2,66+2,68+2,18+2,https://cdn.sofifa.net/players/204/464/23_120.png,CM, CDM,1.6
147528,204847,2022-09-26 00:00:00,2022.0,True,/player/204847/todd-kane/230002,"RWB, RB",70,70,1400000.0,12000.0,28,180,70,14.0,2.0,1800.0,SUB,20.0,,Right,2,3,1,High/Medium,Lean (170-185),2700000.0,,"Dives Into Tackles (AI), Early Crosser",74.0,51.0,64.0,65.0,64.0,67.0,71,44,54,64,35,64,68,57,60,65,76,73,71,65,69,64,63,74,63,54,68,64,64,63,50,64.0,64,66,68,9,13,16,14,6,,60+2,60+2,60+2,64,62,62,62,64,63+2,63+2,63+2,65+2,63+2,63+2,63+2,65+2,68+2,65+2,65+2,65+2,68+2,67+2,64+2,64+2,64+2,67+2,17+2,https://cdn.sofifa.net/players/204/847/23_120.png,RWB, RB,1.4
147532,205351,2022-09-26 00:00:00,2022.0,True,/player/205351/alex-pritchard/230002,CAM,70,70,1600000.0,11000.0,29,168,62,14.0,2.0,106.0,CAM,21.0,,Right,3,3,1,High/Medium,Lean (170-),3000000.0,,"Injury Prone, Long Shot Taker (AI), Playmaker (AI), Technical Dribbler (AI)",69.0,67.0,71.0,73.0,46.0,45.0,70,65,42,70,63,70,75,72,67,73,69,69,86,66,89,72,48,56,30,67,67,44,68,74,64,69.0,44,48,50,13,13,14,10,8,,64+2,64+2,64+2,70,69,69,69,70,70,70,70,69+1,67+2,67+2,67+2,69+1,60+2,58+2,58+2,58+2,60+2,57+2,49+2,49+2,49+2,57+2,17+2,https://cdn.sofifa.net/players/205/351/23_120.png,CAM,,1.6
147548,207804,2022-09-26 00:00:00,2022.0,True,/player/207804/amarii-bell/230002,"LWB, LB, CB",70,70,1400000.0,18000.0,28,180,77,14.0,2.0,1923.0,LWB,29.0,,Left,2,3,1,High/Medium,Normal (170-185),2700000.0,,Solid Player,77.0,49.0,59.0,65.0,64.0,67.0,66,47,53,64,45,67,42,45,58,65,77,77,63,64,71,55,76,78,64,49,59,66,49,50,51,55.0,67,63,64,6,9,14,13,12,,58+2,58+2,58+2,62,60,60,60,62,60+2,60+2,60+2,64+2,61+2,61+2,61+2,64+2,68+2,64+2,64+2,64+2,68+2,67+2,64+2,64+2,64+2,67+2,16+2,https://cdn.sofifa.net/players/207/804/23_120.png,LWB, LB,1.4
147550,207956,2022-09-26 00:00:00,2022.0,True,/player/207956/pelly-ruddock-mpanzu/230002,"CM, CDM",70,70,1600000.0,20000.0,28,175,74,14.0,2.0,1923.0,SUB,17.0,,Right,3,3,1,Medium/High,Stocky (170-185),3000000.0,,,79.0,62.0,64.0,72.0,68.0,81.0,61,59,67,70,52,73,43,41,67,70,80,78,72,69,82,73,76,89,82,64,68,69,64,67,44,70.0,66,69,66,16,7,14,15,11,,68+2,68+2,68+2,69,69,69,69,69,69+1,69+1,69+1,70,70,70,70,70,71-1,70,70,70,71-1,70,70,70,70,70,19+2,https://cdn.sofifa.net/players/207/956/23_120.png,CM, CDM,1.6
147551,208014,2022-09-26 00:00:00,2022.0,True,/player/208014/matty-pearson/230002,CB,70,71,1500000.0,11000.0,28,190,78,14.0,2.0,1939.0,RES,4.0,,Right,3,2,1,Medium/High,Normal (185+),2900000.0,,Power Header,55.0,43.0,50.0,55.0,70.0,77.0,52,42,75,60,35,51,39,30,58,55,53,57,57,67,61,53,67,76,81,38,71,69,35,34,43,59.0,67,72,68,15,8,12,13,15,,53+2,53+2,53+2,50,50,50,50,50,50+2,50+2,50+2,53+2,55+2,55+2,55+2,53+2,63+2,65+2,65+2,65+2,63+2,65+2,70+1,70+1,70+1,65+2,19+2,https://cdn.sofifa.net/players/208/014/23_120.png,CB,,1.5
147568,209620,2022-09-26 00:00:00,2022.0,True,/player/209620/baba-rahman/230002,"LWB, LB",70,70,1500000.0,41000.0,27,180,72,14.0,2.0,1793.0,SUB,12.0,Chelsea,Left,4,3,1,Medium/Medium,Lean (170-185),,,"Early Crosser, Speed Dribbler (AI)",75.0,55.0,64.0,68.0,66.0,69.0,69,52,65,65,41,68,72,43,66,69,74,76,68,66,71,68,71,73,68,54,67,66,64,60,42,66.0,64,68,68,12,11,6,11,10,,64+2,64+2,64+2,66,65,65,65,66,65+2,65+2,65+2,67+2,65+2,65+2,65+2,67+2,68+2,67+2,67+2,67+2,68+2,68+2,67+2,67+2,67+2,68+2,17+2,https://cdn.sofifa.net/players/209/620/23_120.png,LWB, LB,1.5
147576,210644,2022-09-26 00:00:00,2022.0,True,/player/210644/emiliano-marcondes/230002,"CAM, CM",70,70,1700000.0,24000.0,27,182,75,13.0,1.0,1943.0,SUB,11.0,,Right,3,3,1,High/Medium,Normal (170-185),3400000.0,,"Injury Prone, Playmaker (AI)",72.0,68.0,68.0,71.0,42.0,65.0,64,70,53,68,57,70,69,70,65,72,72,72,76,71,69,69,60,71,65,67,57,31,69,71,66,58.0,39,50,41,7,8,10,12,13,,68+2,68+2,68+2,70,70,70,70,70,70,70,70,70,66+2,66+2,66+2,70,58+2,57+2,57+2,57+2,58+2,56+2,51+2,51+2,51+2,56+2,17+2,https://cdn.sofifa.net/players/210/644/23_120.png,CAM, CM,1.7
147586,211363,2022-09-26 00:00:00,2022.0,True,/player/211363/tom-lockyer/230002,CB,70,70,1500000.0,17000.0,27,185,72,14.0,2.0,1923.0,SUB,4.0,,Right,4,2,1,Medium/High,Normal (185+),2900000.0,,,66.0,36.0,54.0,60.0,69.0,78.0,45,38,70,62,21,55,44,30,62,63,68,64,68,64,64,37,79,77,79,34,76,68,38,49,39,62.0,68,71,66,15,13,14,9,7,,52+2,52+2,52+2,54,53,53,53,54,55+2,55+2,55+2,57+2,59+2,59+2,59+2,57+2,64+2,67+2,67+2,67+2,64+2,65+2,70,70,70,65+2,17+2,https://cdn.sofifa.net/players/211/363/23_120.png,CB,,1.5
147601,213659,2022-09-26 00:00:00,2022.0,True,/player/213659/fankaty-dabo/230002,"RWB, RB, CB",70,73,1900000.0,12000.0,26,181,76,14.0,2.0,1800.0,RWB,23.0,,Right,3,3,1,High/Medium,Stocky (170-185),3800000.0,,Early Crosser,76.0,49.0,63.0,68.0,66.0,76.0,66,44,61,67,39,70,60,40,59,67,77,75,64,65,65,59,77,77,74,48,80,65,68,62,42,66.0,66,69,65,8,13,8,7,14,,62+2,62+2,62+2,65,64,64,64,65,64+2,64+2,64+2,67+2,65+2,65+2,65+2,67+2,68+2,67+2,67+2,67+2,68+2,68+2,68+2,68+2,68+2,68+2,16+2,https://cdn.sofifa.net/players/213/659/23_120.png,RWB, RB,1.9
147604,213905,2022-09-26 00:00:00,2022.0,True,/player/213905/sam-gallagher/230002,"ST, RW",70,71,1900000.0,25000.0,26,193,75,14.0,2.0,3.0,ST,9.0,,Right,3,3,1,High/High,Normal (185+),3800000.0,,Power Header,70.0,69.0,58.0,67.0,45.0,75.0,64,70,74,59,71,69,54,45,53,67,65,74,64,69,54,76,75,73,78,64,71,44,68,57,60,59.0,40,41,43,12,11,16,13,8,,70+1,70+1,70+1,66,67,67,67,66,64+2,64+2,64+2,66+2,61+2,61+2,61+2,66+2,58+2,55+2,55+2,55+2,58+2,56+2,56+2,56+2,56+2,56+2,18+2,https://cdn.sofifa.net/players/213/905/23_120.png,ST, RW,1.9
147621,214906,2022-09-26 00:00:00,2022.0,True,/player/214906/andrew-hughes/230002,CB,70,70,1300000.0,17000.0,30,190,81,14.0,2.0,1801.0,LCB,16.0,,Left,2,2,1,Medium/High,Normal (185+),2500000.0,,,63.0,40.0,59.0,60.0,70.0,76.0,63,35,72,63,27,55,65,68,64,64,61,64,67,68,56,46,81,76,77,48,73,70,45,42,42,59.0,69,71,67,15,13,13,7,10,,54+2,54+2,54+2,56,54,54,54,56,55+2,55+2,55+2,58+2,60+2,60+2,60+2,58+2,67+2,67+2,67+2,67+2,67+2,68+2,70,70,70,68+2,18+2,https://cdn.sofifa.net/players/214/906/23_120.png,CB,,1.3
147634,215437,2022-09-26 00:00:00,2022.0,True,/player/215437/darnell-fisher/230002,"RWB, RB",70,70,1400000.0,15000.0,28,175,70,14.0,2.0,12.0,RES,42.0,,Right,3,3,1,Medium/High,Normal (170-185),2700000.0,,Dives Into Tackles (AI),79.0,26.0,52.0,64.0,68.0,75.0,63,20,59,56,26,64,41,32,50,63,78,79,72,65,64,32,70,77,70,26,85,67,37,42,35,56.0,67,72,71,12,14,10,14,6,,48+2,48+2,48+2,56,51,51,51,56,53+2,53+2,53+2,58+2,55+2,55+2,55+2,58+2,68+2,65+2,65+2,65+2,68+2,68+2,69+1,69+1,69+1,68+2,17+2,https://cdn.sofifa.net/players/215/437/23_120.png,RWB, RB,1.4
147638,216155,2022-09-26 00:00:00,2022.0,True,/player/216155/harry-cornick/230002,"ST, RW",70,71,1900000.0,20000.0,27,180,84,14.0,2.0,1923.0,SUB,7.0,,Right,3,3,1,Medium/Medium,Normal (170-185),3800000.0,,"Speed Dribbler (AI), Giant Throw-in",86.0,68.0,58.0,70.0,36.0,61.0,63,70,64,64,58,72,42,48,45,70,85,87,70,68,68,69,44,74,68,65,33,38,68,61,58,60.0,35,31,24,10,6,6,9,12,,70+1,70+1,70+1,70,70,70,70,70,68+2,68+2,68+2,69+2,61+2,61+2,61+2,69+2,56+2,50+2,50+2,50+2,56+2,53+2,45+2,45+2,45+2,53+2,16+2,https://cdn.sofifa.net/players/216/155/23_120.png,ST, RW,1.9
147644,217826,2022-09-26 00:00:00,2022.0,True,/player/217826/josh-laurent/230002,"CDM, CM, CAM",70,73,1800000.0,15000.0,27,188,76,14.0,2.0,1806.0,SUB,28.0,,Right,3,3,1,Medium/High,Stocky (185+),3600000.0,,"Long Throw-in, Speed Dribbler (AI)",77.0,60.0,61.0,68.0,67.0,84.0,59,59,66,64,53,68,56,45,63,67,75,79,70,65,64,65,75,90,84,63,78,67,62,63,51,68.0,64,70,70,14,8,12,14,16,,66+2,66+2,66+2,66,66,66,66,66,65+2,65+2,65+2,67+2,66+2,66+2,66+2,67+2,69+2,69+2,69+2,69+2,69+2,69+2,70+2,70+2,70+2,69+2,19+2,https://cdn.sofifa.net/players/217/826/23_120.png,CDM, CM,1.8
147647,218343,2022-09-26 00:00:00,2022.0,True,/player/218343/ryan-hedges/230002,"RW, RM, CAM",70,70,1700000.0,25000.0,26,185,65,14.0,2.0,3.0,RM,19.0,,Left,3,3,1,Medium/Medium,Normal (185+),3200000.0,,"Finesse Shot, Flair, Long Shot Taker (AI), Technical Dribbler (AI)",82.0,64.0,64.0,72.0,39.0,58.0,67,64,50,68,51,73,59,44,54,71,80,84,77,60,68,70,62,75,58,62,36,35,63,70,54,69.0,38,41,36,7,12,8,9,13,,65+2,65+2,65+2,70,68,68,68,70,68+2,68+2,68+2,69+1,63+2,63+2,63+2,69+1,58+2,53+2,53+2,53+2,58+2,55+2,47+2,47+2,47+2,55+2,16+2,https://cdn.sofifa.net/players/218/343/23_120.png,RW, RM,1.7
147662,220031,2022-09-26 00:00:00,2022.0,True,/player/220031/oli-mcburnie/230002,ST,70,73,2100000.0,17000.0,26,191,77,14.0,2.0,1794.0,RS,9.0,,Right,3,3,1,Medium/Medium,Lean (185+),4100000.0,,Power Header,54.0,69.0,57.0,67.0,33.0,76.0,40,70,74,69,71,67,42,33,55,73,54,54,55,70,54,77,77,69,79,58,77,28,71,66,65,68.0,32,29,20,13,11,12,13,13,,70+2,70+2,70+2,64,68,68,68,64,67+2,67+2,67+2,64+2,63+2,63+2,63+2,64+2,48+2,52+2,52+2,52+2,48+2,46+2,49+2,49+2,49+2,46+2,19+2,https://cdn.sofifa.net/players/220/031/23_120.png,ST,,2.1
147685,221890,2022-09-26 00:00:00,2022.0,True,/player/221890/jay-fulton/230002,"CDM, CM",70,71,1500000.0,15000.0,28,186,80,14.0,2.0,1960.0,SUB,4.0,,Right,3,3,1,Medium/High,Lean (185+),3000000.0,,Dives Into Tackles (AI),62.0,55.0,61.0,66.0,70.0,72.0,54,53,69,67,45,63,49,33,66,68,63,62,69,64,67,65,59,66,73,50,82,68,57,62,51,67.0,68,72,71,11,11,8,11,7,,62+2,62+2,62+2,61,62,62,62,61,63+2,63+2,63+2,62+2,65+2,65+2,65+2,62+2,66+2,69+2,69+2,69+2,66+2,66+2,70+1,70+1,70+1,66+2,16+2,https://cdn.sofifa.net/players/221/890/23_120.png,CDM, CM,1.5
147688,221982,2022-09-26 00:00:00,2022.0,True,/player/221982/patrick-roberts/230002,"RW, RM, CAM",70,73,2100000.0,11000.0,25,170,66,14.0,2.0,106.0,SUB,10.0,,Left,3,4,1,Medium/Low,Lean (170-),4000000.0,#Acrobat,"Finesse Shot, Technical Dribbler (AI)",79.0,63.0,66.0,75.0,27.0,40.0,64,64,43,68,52,74,66,49,64,72,81,77,91,59,88,64,43,55,33,64,38,21,63,70,62,74.0,37,18,19,12,7,8,7,12,,63+2,63+2,63+2,70,68,68,68,70,69+2,69+2,69+2,68+2,62+2,62+2,62+2,68+2,50+2,46+2,46+2,46+2,50+2,46+2,35+2,35+2,35+2,46+2,15+2,https://cdn.sofifa.net/players/221/982/23_120.png,RW, RM,2.1
147708,223926,2022-09-26 00:00:00,2022.0,True,/player/223926/samuel-bastien/230002,CM,70,73,2100000.0,22000.0,25,175,75,14.0,2.0,1796.0,SUB,26.0,,Right,3,3,1,High/Medium,Normal (170-185),4100000.0,,Long Shot Taker (AI),74.0,67.0,69.0,74.0,62.0,71.0,68,61,53,72,66,73,73,62,71,75,78,70,74,70,78,73,82,84,64,73,68,66,64,65,67,69.0,66,60,58,8,7,9,7,8,,67+2,67+2,67+2,70,70,70,70,70,70+2,70+2,70+2,71+2,70+2,70+2,70+2,71+2,69+2,68+2,68+2,68+2,69+2,68+2,64+2,64+2,64+2,68+2,14+2,https://cdn.sofifa.net/players/223/926/23_120.png,CM,,2.1
147714,224265,2022-09-26 00:00:00,2022.0,True,/player/224265/joe-williams/230002,"CDM, CM, CAM",70,74,2000000.0,16000.0,25,185,80,14.0,2.0,1919.0,LCM,8.0,,Right,2,3,1,Medium/High,Normal (185+),4000000.0,,"Injury Prone, Dives Into Tackles (AI), Long Passer (AI), Long Shot Taker (AI)",60.0,56.0,67.0,67.0,68.0,66.0,60,53,54,72,62,69,58,54,73,67,65,56,63,65,67,63,49,64,62,58,84,66,47,65,59,63.0,68,72,71,14,9,10,10,9,,59+2,59+2,59+2,62,62,62,62,62,64+2,64+2,64+2,64+2,67+2,67+2,67+2,64+2,66+2,69+2,69+2,69+2,66+2,66+2,67+2,67+2,67+2,66+2,16+2,https://cdn.sofifa.net/players/224/265/23_120.png,CDM, CM,2.0
147733,225775,2022-09-26 00:00:00,2022.0,True,/player/225775/marc-bola/230002,"LWB, LB",70,75,2200000.0,13000.0,24,185,78,14.0,2.0,12.0,SUB,27.0,,Left,3,2,1,High/Medium,Normal (185+),4300000.0,,,75.0,35.0,54.0,65.0,67.0,71.0,64,33,56,60,26,66,46,26,49,65,76,74,64,66,67,39,64,81,71,31,61,66,51,44,36,53.0,68,70,68,10,16,6,16,16,,53+2,53+2,53+2,59,56,56,56,59,56+2,56+2,56+2,61+2,58+2,58+2,58+2,61+2,68+2,64+2,64+2,64+2,68+2,68+2,66+2,66+2,66+2,68+2,20+2,https://cdn.sofifa.net/players/225/775/23_120.png,LWB, LB,2.2
147741,226677,2022-09-26 00:00:00,2022.0,True,/player/226677/juninho-bacuna/230002,"CM, CAM",70,75,2400000.0,16000.0,24,178,74,14.0,2.0,88.0,RCM,7.0,,Right,3,4,1,Medium/Medium,Lean (170-185),4700000.0,,"Long Passer (AI), Long Shot Taker (AI), Technical Dribbler (AI)",70.0,69.0,70.0,73.0,65.0,76.0,71,65,61,71,61,74,68,64,72,74,72,68,71,66,68,80,75,73,74,71,84,64,68,70,59,67.0,68,66,56,6,11,8,14,10,,69+2,69+2,69+2,71,70,70,70,71,71+2,71+2,71+2,71+2,70+2,70+2,70+2,71+2,68+2,69+2,69+2,69+2,68+2,67+2,67+2,67+2,67+2,67+2,16+2,https://cdn.sofifa.net/players/226/677/23_120.png,CM, CAM,2.4
147760,228517,2022-09-26 00:00:00,2022.0,True,/player/228517/andy-rinomhota/230002,"CDM, CM",70,74,2000000.0,16000.0,25,175,72,14.0,2.0,1961.0,LCM,35.0,,Right,3,3,1,High/High,Normal (170-185),3900000.0,,,80.0,54.0,59.0,68.0,71.0,80.0,56,53,66,66,57,69,59,35,57,65,76,84,66,68,83,58,72,83,80,53,80,71,57,59,45,65.0,69,74,74,13,8,12,13,9,,63+2,63+2,63+2,64,64,64,64,64,64+2,64+2,64+2,66+2,65+2,65+2,65+2,66+2,71+2,69+2,69+2,69+2,71+2,71+2,72+2,72+2,72+2,71+2,17+2,https://cdn.sofifa.net/players/228/517/23_120.png,CDM, CM,2.0
147764,228815,2022-09-26 00:00:00,2022.0,True,/player/228815/tyler-roberts/230002,"CAM, CM",70,75,2400000.0,18000.0,23,180,75,14.0,2.0,15.0,SUB,11.0,Leeds United,Right,3,3,1,Medium/Medium,Normal (170-185),,,Injury Prone,72.0,68.0,66.0,74.0,38.0,70.0,64,69,65,70,59,74,57,42,65,74,73,72,79,65,74,70,56,71,76,65,57,37,70,68,70,68.0,31,39,27,12,8,13,9,13,,70+2,70+2,70+2,70,70,70,70,70,70+2,70+2,70+2,70+2,66+2,66+2,66+2,70+2,56+2,55+2,55+2,55+2,56+2,53+2,49+2,49+2,49+2,53+2,17+2,https://cdn.sofifa.net/players/228/815/23_120.png,CAM, CM,2.4
147765,228829,2022-09-26 00:00:00,2022.0,True,/player/228829/marc-roberts/230002,CB,70,70,1100000.0,17000.0,31,193,81,14.0,2.0,88.0,CB,4.0,,Right,2,2,1,Low/Medium,Normal (185+),2100000.0,,Giant Throw-in,52.0,24.0,41.0,44.0,71.0,73.0,23,21,74,52,23,33,24,29,58,55,50,54,41,69,51,33,83,64,80,20,65,73,25,32,34,52.0,71,69,67,7,12,16,16,14,,43+2,43+2,43+2,40,41,41,41,40,42+2,42+2,42+2,43+2,50+2,50+2,50+2,43+2,57+2,63+2,63+2,63+2,57+2,61+2,70,70,70,61+2,19+2,https://cdn.sofifa.net/players/228/829/23_120.png,CB,,1.1
